Author,Code,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
1,1,"As shown in the figure, AB // DE and BC // EF. If ∠B = (3x - 25)° and ∠DEF = (5x + 5)°, find the value of x. (V3 P.32-40)","As shown in the figure, L1 // L2, ∠1 =(3x - 45)°, ∠2 =(2x + 30)°, and ∠3 =(x + 15)° Find the angle of ∠2. (V3 P.33-42)","As shown in the figure line, line L is parallel to BC, ∠BAC=80°, ∠DAB=(3x - 4y)°, ∠B=(2x + y + 5)° and ∠C= (8y + 20)°. Find the angle of ∠B.   (V3 P.37-49)","Based on the figure shown, which of the following statement is correct? (V3 P.38-51)","As shown, given that AB // EF, DE⊥BC, and ∠E = 120°, find the angle of ∠B. (V3 P.32-39)","In the figure shown, L1 // L2. Find the angle of ∠BCD - ∠ABC.  (V3 P.36-48)","As shown, folding along the crease EF, point C now falls on point C' and point D on point D'. If ∠EGF = 45°, find the angle of ∠1 + ∠2.(V3 P.36-47)","As shown, L // M, ∠A = 32°, ∠B = 36°, and ∠BCF = 120°. What is the angle of ∠ADE? (V3 P. 37-50)","Q1 (4-1 Adv. 第三大題第三小題) Based on the figure, L//M, ∠2=3∠1, ∠4=3∠3, ∠B=80°, find ∠D.","Q2 (4-1 Adv. 第二大題第二小題) As shown in the figure, the continuous line part is a line symmetrical figure, B and D are the symmetry points of A and C respectively. After connecting the straight line AB and the straight line CD, we get∠1=105°, then ∠2－∠3= ____degrees. "
12,1,"Q1 Find the coordinates of the intersection of the diagonals of ▱ LMNO with vertices L(1,4), M(7,4), N(6,0), and O(0,0) (V3 P.64-3)","Q2 Three vertices of ▱ WXYZ are W(-1,-3), X(-3,2), and Z(4,-4). Find the coordinates of vertex Y. (V3 P.65-5)","Q3 As shown in the figure, in parallelogram ABCD, line AD= line AE= 9, line CF=14, and ∠EAD= 110°. Find the angle of ∠FEB and the length of line AB. (V3 P.71-19)",Q4 Find the measure of each angle. The measure of one interior angle of a parallelogram is 0.25 times the measure of another angle. (V3 P.68- 13 [a]),Q5 For what value of x is quadrilateral CDEF a parallelogram? (V3 P.65-8),"Q6 As shown in the figure, P is a point within parallelogram ABCD. The area of the triangles APD, DPC, and CPB are 11, 20, 14, respectively. Find the area of the triangle APB.  (V3 P.72- 18)",Q7 For what values of x and y is quadrilateral PQRS a parallelogram?,"Q8 As shown, in parallelogram ABCD and CDEF, points P and Q are the points of intersection of the diagonals. Given that the perimeter of quadrilateral CPDQ is 50, and the perimeters of triangle PAB and QEF are 28 and 30, respectively, find the length of CD. ","Q9 As shown, in parallelogram ABCD, the supplementary angle of ∠A is 32 degree more than the complementary angle of ∠B. Find m∠D. (WB P.57-3)",Q10 AB line segment = BC line segment + 2 = CD line segment = DA line segment + 2. Is this a parallelogram? (WB P.58-5[4] )
13,1,"Q1. As shown, L//M, CF passes through point E of a regular pentagon and intersects line L and line M at point F and C, respectively. Fine the angle of ∠1. (V3 P.47 - 61)","Q2. As shown in the figure, L1//L2, ∠1 = (3x - 45)°, ∠2 = (2x + 30)°, and ∠3 = (x + 15)°. Find the angle of ∠2 . (V3 P.33 - 42)","Q3. As shown, L1//L2, ∠1 = ∠2, and ∠3 = ∠4. Find the value of x. (V3 P.34 - 44)","Q4. As shown in the figure, line segment AB // line segment EF, ∠1 = 120°, ∠2 = 63°, and ∠3 = 95°. What is the angle of ∠CDE? (V3 P.42 - 56)","Q5. As shown in the figure, given that line segment AB // line segment CD, ∠AFE = 76°, and ∠ECD = 134°, find the angle of ∠FEC. (V3 P.41 - 55)","Q6. As shown in the figure, L // M, triangle PQR is an equilateral triangle, and ∠2 = 8°. Find the angle of ∠1. (V3 P.38 - 52)","Q7. As shown in the figure, line segment AB // line segment DE, ∠1 = 20°, and ∠2 = 75°. Find the angle of ∠3. (V3 P.48 - 62)","Q8. As shown in the figure, L//M. Given that ∠A = 140°, ∠B = 125°, and ∠C = 135°, find the angle of ∠D. (V3 P.49 - 63)","Q9. As shown in the figure, L1 // L2. If the area of △DCE  = 10, the area of △BCE = 8, find the area of △ADE. (4-1 WB P.55 - 3)","Q10. As shown in the figure, L // line segment BC, ∠BAC = 80°, ∠DAB = (3x-y)°, ∠B = (2x+y+5)°, ∠C = (8y+20)°. Find the angle of ∠B. (4-1 Adv 三 5.)"
14,1,Question 1 (V2 P. 58 - 14) :,Question 2 (V2 P. 60 - 17) : ,Question 3 (V2 P. 63 - 24) : ,Question 4 (V2 P. 66 - 27) : ,Question 5 (V2 P. 61 - 19) :,Question 6 (V2 P. 65 - 26) : ,Question 7 (V2 P. 57 - 11 - D) : ,Question 8 (V2 P. 60 - 18) : ,Question 9 (Basic 一、1) : ,Question 10 (Advanced 一 、7) :
15,1,Q1 (V2 p83-2): A triangle has one side of length 12 inches and another side of length 20 inches. Describe the possible lengths of the third side. ,"Q2 (V2 p86-10): Given ST ≌  PR, how does m∠PST compare to m∠SPR?","Q3 (V2 p88-15): In  ΔDEF, m∠D= (x+25)°, m∠E= (2x-4)°, and m∠F=63°. List the side lengths and angle measures of the triangle in order from least to greatest.","Q4 (V2 p92-22):  Given that the three sides of a triangle are a-3, 26-a, and 2a-7, if a is a positive integer, how many possible values of ""a"" are there? ",Q1 (V2 p84-5): List the sides of ΔDEF in order from shortest to longest.,Q2 (V2 p83-3): Decide whether it is possible to construct a triangle with the given side lengths. ,Q3 (V3 p90-18 (a) ): m∠1_____ m∠2,"Q4 (V2 p95-27): Isosceles triangle ABC has a perimeter of 36, and the length of its three sides are all positive integers.How many triangles are there that satisfy these conditions? ",Q1 (3-4 Basic 第三大題第三題) △ABC ，∠A＞∠C. If AB ＝6、 AC ＝4，BC is an even number，find the perimeter of △ABC.,"Q2 (3-4 Adv. 第一大題第四題)：△ABC is an acute triangle,  ∠C>∠B>∠A. Which of the following statements must be true?"
16,1,"Q1 (V3 p.101-22): Name each quadrilateral-- parallelogram, rectangle, rhombus, or square-- for which the statement is always true (numerous quadrilaterals can satisfy one requirement at once) [It is equiangular]","Q1 (V3 p.101-22): Name each quadrilateral-- parallelogram, rectangle, rhombus, or square-- for which the statement is always true (numerous quadrilaterals can satisfy one requirement at once) [it is equiangular and equilateral]","Q1 (V3 p.101-22): Name each quadrilateral-- parallelogram, rectangle, rhombus, or square-- for which the statement is always true (numerous quadrilaterals can satisfy one requirement at once) [The diagonals are perpendicular]","Q1 (V3 p.101-22): Name each quadrilateral-- parallelogram, rectangle, rhombus, or square-- for which the statement is always true (numerous quadrilaterals can satisfy one requirement at once) [Opposite sides are congruent]","Q1 (V3 p.101-22): Name each quadrilateral-- parallelogram, rectangle, rhombus, or square-- for which the statement is always true (numerous quadrilaterals can satisfy one requirement at once) [The diagonals bisect each other]","Q1 (V3 p.101-22): Name each quadrilateral-- parallelogram, rectangle, rhombus, or square-- for which the statement is always true (numerous quadrilaterals can satisfy one requirement at once) [The diagonals bisect opposite angles]","Q2 (V3 p.108-31): As shown in the figure, the perimeter of rhombus ABCD is 80, and the diagonal BD has length 24. Find the area of the rhombus.","Q3 (V3 p.113-36): As shown, in trapezoid ABCD, line AD// line BC, line AF bisects ∠BAD, line DE bisects ∠ADC, line AB = 10, line CD = 8, and line BC = 16. Find the length of line EF.","Q4 (V3 p.109-32): As shown in the figure, in trapezoid ABCD, line AD // line BC, line EF is the midsegment of the trapezoid, and line FG is a line segment that is parallel to line AB and intersects line segment BC at point G. Given that line AD : line EF = 6 : 7, what is line BG : line CG?","Q1 (V3 p. 103-26): The midsegment of a trapezoid has a length of 10.5. If the length of the bottom base is equal to the length of two times the top base squared, find the length of the top base. "
17,1,1. Classify the pair of numbered angles. (V3 p14-1 a),2. Which of the following is alternate exterior angles (more than 1 answer),"3. Find ∠1, ∠2, and ∠3. (V3 p18-12 a)",4. Are  AC and  DF parallel?  (more than 1 answer) (V3 p21-18) ,Find the value of x that makes m || n.  (V3 p20-16 f),Find the value of R that makes m || n.  (V3 p20-16 f),"As shown, folding along the crease EF, point C now falls on point C’ and point D on point D’. If∠EGF = 32°, find the angle of ∠1  + ∠2.","In the figure shown, L//M and ABEDE is a regular pentagon. If ∠CDG=35. find the angle of ∠FAB.  (V3 p43 -57)","L1 // L2, If the area of triangle DCE is 10, and the area of triangle BCE is 8. Find the area of ADE  (WB p55-3)","Teresa ride her bike on the part that is made up L1, L2, L3, L4. Her route is shows in the image by red arrow. She find out that the ∠1 and ∠2 is the same, and ∠3 =79. Find  ∠4  (WB p54 -4)"
18,1,"1. As shown in the figure, ABCD is a parallelogram. If the area of triangle ADE is 30, and the area of triangle BEC is 20, what is the area of triangle AEB? (V3 p. 70 - 17)","2. As shown in the figure, in parallelogram ABCD, line segment AD = line segment AE = 9, line segment CF = 14, and ∠EAD = 110°. Find the angle of ∠FEB and the length of line segment AB. (V3 p.71 - 19)","3. As shown, in parallelogram ABCD, line segment ED // line segment FG, ∠BCG = 105°, and ∠ABE = 25°. Find the angle of ∠AEB + ∠BFG. (V3 p.72 - 21)","4. As shown, in parallelogram ABCD, line segment AE: line segment DE = 2:3, and line segment BF: line segment CF = 1:3. Given that the area of quadrilateral ABFE is 26, find the area of the quadrilateral ABCD. (V3 p.80 - 30)",5. For what values of x and y is quadrilateral PQRS a parallelogram? (V3 p.66 - 9),6. For what value of x is quadrilateral CDEF a parallelogram? (V3 p.65 - 8),7. For what values of x and y is quadrilateral ABCD a parallelogram? (V3 p.66 - 10),"8. As shown in the figure, in parallelogram ABCD, line segment AD = line segment AE = 25, and line segment CF = 34. Find the length of line segment AB. (V3 p.76 -26)","9. Known that in a parallelogram, the coordinates of the three points of the parallelogram are (-4,4)、(3,4)、(2,0). Find the coordinate of the fourth point. (4-2 Basic 三、2)","10. As shown in the figure, in parallelogram ABCD, ∠A's supplementary angle is 32° wider than ∠B's complementary angle. Find ∠D. (WB p.57 - 3)"
19,1,Find all values of x that make the triangles congruent.( V2.  Page 32.  Question 36 ),"As shown in the figure, ABCD is a square. Point E lies on line segment AB, point F lies on ray BC.Given that AE = CF and DE = 10, find the length of EF. ( V2.  Page 34.  Question 39 )","As shown in the figure, squares ABCD and EFGH have sides with a length of 6. Given that point E lies in the center of square ABCD and that the line segment BP has a length of 2, find the area of the quadrilateral EPCQ.( V2.  Page 41.  Question 48 )","As shown in the figure, square ABCD is placed on a Cartesian plane. Given that point A lies on (0, 5) and point B on (2, 0), find the coordinates of point C. ( V2.  Page 43.  Question 50 )","As shown, ∠1 = ∠2, AC = BD. Given that ∠1 = 32°, ∠ACD = 13°, find the angle of ∠CAB . ( V2.  Page 35.  Question 42. )","As shown in the figure, in triangle ABC, AB=AC, ܲPB=CQ, BQ=CR. If ∠A= 168°, find the angle of ∠RPQ. ( V2.  Page 84.  Question 6 ) ","As shown, triangle ABC is an isosceles right triangle and line L passes through point A. Drawing the perpendiculars of point B and point C onto line L to intersect at point D and point E respectively, given that  ∠DBA = 60°, EC = 3, find the length of BC. ( V2.  Page 35.  Question 41)","Given that triangle ABC is congruent to triangle DEF, with points A, B, C corresponding to the points D,E, F, respectively. If ∠A = 8x² - 46x - 17 , ∠D = 5x² - 29x + 11, and ∠F = 3x² - 19x + 111. Find the angle of ∠B ( V2.  Page 33.  Question 38. )","As shown in the figure, BC=3x-8, AE=2x-2, BF=5x-17, AB=2x-9, CE=x+5, CF=17-x, ∠BDC = ∠BCF, and AE is parallel to BD. Solve for x.","As shown, triangle ABC and triangle CDE are both equilateral triangles. Given that 23∠BAE = 13∠BDE and ∠DBC = m/n where gcd(m,n)=1, solve for x where nx² + mx = 437."
20,2,"As shown, given that AB // EF, DE⊥BC, and ∠E = 124°, find the angle of ∠B.","In the figure shown, AC // DF. If AC = 15, DF = 24, and the area of triangle DEF is 192, find the area of triangle ABC.","As shown in the figure, AB // DE and BC // EF. If ∠B = (3x - 25)° and ∠DEF = (5x + 5)°, find the value of x.","As shown, L // M, ∠A = 32°, ∠B = 36°, and ∠BCF = 114°. What is the angle of ∠ADE?","As shown, L1 // L2, ∠1 = ∠2, and ∠3 = ∠4. Find the value of x.","In the figure shown, L1 // L2. Find the angle of ∠BCD - ∠ABC.","As shown in the figure, L // M, triangle PQR is an equilateral triangle. Find ∠1.","As shown, folding along the crease EF, point C now falls on point C' and point D on point D'. If ∠EGF = 50°, find the angle of ∠1 + ∠2.","As shown, L1 // L2. If AD = 5, BC = 7. If the area of △ABC is 14, what is the area of △ACD?","As shown, if L1 // L2, ∠3=(2x+37)°, and ∠4=(4x+23)°, find x.",34°,120,25,46°,60,40°,20°,115°,10,20
21,1,"1. Given that segment JK ≅ segment LK, how does segment JM compare to segment LM ? (V2 86 - 11)",2. Which of the following cannot form a triangle? (V2 - 99 32),3. A triangle has one side of length 12 inches and another side of length 20 inches. Describe the possible lengths of the third side. (V2 83 - 2),4. The perimeter of triangle HGF must be between what two integers? (V2 89 - 16),"5. Given that a, b, and c are the three sides of a triangle, simplify the expression (V2 98 - 31)","6. As shown in the figure, in quadrilateral ABCD, angle ACB = angle ACD = 40 degrees. Angle B = 80 degrees, and angle D = 40 degrees. Based on these properties, BC ___ AD. (Fill <, =, or < in the blank given) (V2 97 - 30)","7. In triangle ABC, if segment AB = √11 + 3, segment BC = √15 + √5, segment AC = √13 + √7, compare the angles of angle A, B, and C (V2 96 - 29)","8. As shown in the figure, in quadrilateral ABCD, segment AB = 14, segment BC = 17, segment AD = 19, segment CD = 24. Find the range of the possible lengths of segment AC. (V2 95 - 28).","9. If 3 sides of a triangle are 5, 3x + 2, 12, and x is a positive integer, what are all possibilities for x? (3-4 advanced   計算題 Q2)","10. According to the graph, quadrilateral ABCD, segment AB = 8, segment BC = 10, segment AD = 7, segment CD = 12, What is the range for AC?"
