Author,Code,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
1,1,V3 p16 -7,V3 p20-15,V3 p33-41,V3 p33-42,"As shown in the figure, line L is parallel to BC, ∠BAC=108°, ∠DAB=(2x-2y)°, ∠B= (x+4y+6)°, and ∠C=(10y+20)°. Find the angle of ∠B.  V3 p37-50 ","As shown, L1// M1 , ∠A=42°, ∠B=46°, and ∠BCF=124°. What is the angle of ∠ADE°?  V3 p37-49","In the figure shown, L//M and ABCDE is a regular pentagon. If∠CDG=30°, find the angle of ∠FAB? V3 p43-57","As shown, L1//L2, ∠1=∠2, and ∠3=∠4. Find the value of x.  V3 p34-44","As shown in the figure, L1//L2, M is the transversal line of L1 and L2, if ∠1= (3x+4)° , ∠2=(7x+6)°, find the value of x. 4-1 Workbook p53-2","As shown in the figure, L1//L2, if the area △DCE is 10. The area of ​​△BCE is 8, find the area of ​​△ADE. 4-1 workbook p 55-3"
12,1,"Q1: Given that the two diagonals of a kite have lengths (2x+3) and (3x-4), and the area of the kite is 44 cm², what is the value of x? (V3 p. 103 - 25)","Q2: As shown in the figure, in trapezoid ABCD, line segment AD // line segment BC, EF is the midsegment of the trapezoid, and line segment FG is parallel to line segment AB and intersects line segment BC at point G. Given that line segment AD: line segment EF= 6:7, what is line segment BG: line segment CG? (V3 p. 109 - 32)","Q3: As shown in the figure, in trapezoid ABCD, line segment AD // line segment BC, F is the midpoint of DC, and the extension of line AF intersects the extension of line BC at point E. Given that line segment AD = 5, line segment BC = 10, and the area of triangle ADF is 7.5, find the area of trapezoid ABCD. (V3 p. 110 - 33)","Q4: As shown, in trapezoid ABCD, line segment AD // line segment BC, ∠1 = 100°, and point B falls on point G, which is on the extension of AD, when folded along the crease CE. Given that ∠ECF = 20° and line segment GE // line segment CD, find the angle of ∠BEG. (V3 p. 114 - 37)","Q5: As shown in the figure, in quadrilateral ABCD, line segment AD // line segment BC, line segment AB = line segment CD, line segment AH = 11, line segment BC = 70, and line segment AD = 50. Find the length of the diagonal BD.  (V3 p. 115 - 38)","Q6: The figure shown depicts the overlap of rhombus ABCD and triangle ABE, where point D lies on line segment BE. Given that line segment AB = 15, line segment BD = 18, and line segment AE = 37, find the length of line segment DE. (V3 p. 117 - 40)","Q7: As shown, in trapezoid ABCD, line segment AD // line segment BC, line segment AB ⊥ line segment BC, line segment AD = 8, line segment BC = 12, and line segment AB = 18. If line segment CE bisects the area of trapezoid ABCD, find the length of AE. (V3 p. 120 - 43)","Q8: As shown, in trapezoid ABCD, line segment AD // line segment BC, and EF is the midsegment of the trapezoid. Given that line segment AD = 21 and line segment BC = 35, find the ratio of the area of AEFD to the area of EBCF. (V3 p. 121 - 44)","Q9: The area of an isosceles trapezoid ABCD is 144, line segment AD // line segment BC. Given that the line segment AD = 7 and the height that lies on line segment BC = 12. Find line segment BC. (4-3 Basic 三、4-1.)","Q10: In the kite ABCD, line segment AO = 6, line segment CO = 15. Given that the area of ΔABD is 48, find the perimeter of kite ABCD. (4-3 Adv 三、4.)"
13,1,"As shown in the figure, in pentagon ABCDE, the angle bisectors of ∠ABC and ∠AED intersect at point F. If ∠A= 130°, ∠C= 120°, and ∠D= 98°, find the angle of ∠BFE. (V2 P.64 -25)","As shown in the figure, the three interior angle bisectors of triangle ABC intersect at point I. If ∠BAI= 20° and ∠ACI= 30°, find the angle of ∠CBI. (V2 P.63 -24)","As shown in the figure, line segment AB is equal to line segment AC, BD, CD, BE, and line segment CE bisect the angles ∠ABC, ∠ACB, ∠DBC, ∠DCB respectively. If ∠BEC is 160°, find the angle of ∠A. (V2 P.61 - 19)","As shown in the figure, in triangle ABC, line L is the perpendicular bisector of segment AB. If line segment AB is 48, AP is 26, and BC is 30, find the length of PC. (V2 P.60 - 17)","As shown, isosceles triangle ABC has side AB equal to side AC. Line segment BD and line segment CD bisect angle ∠ABC and ∠ACE, respectively. If ∠A= 25°, find the angle of ∠D. (V2 P.58 - 14)","As shown, line DE is the perpendicular bisector of line segment BC. If line segment BD is 24, AD is 7 and AC is 25, find the length of CE. What is the area of the quadrilateral ADEC? (V2 P.62 - 21)","As shown, line segment OP bisects ∠AOC, and line segment OQ bisects ∠BOC. If ∠AOB= 160°, find the angle of ∠POQ. (V2 P.72 - 33)","As shown, the two exterior angles of triangle ABC, ∠EBC and ∠FCB, have their angle bisectors intersect at point D. If ∠A= 48°, find the angle of ∠BDC. (V2 P.73 - 34)","In a triangle ABC, ∠A= 120°, and the angle bisectors of  ∠B and ∠C intersect at point I, find the angle of ∠BIC. (3-3 Adv.一. 4)","As shown, line segment AP bisects ∠BAC, and line segment PB is equal to line segment PC. If line segment AB is 24, AC is 18, ∠C= 120°. Find the angle of ∠B and the length of PB. (3-3 Adv.二. 6)"
14,1,Q1 (V2 P. 58 - 14),Q2 (V2 P. 61 - 19),Q3 (V2 P. 62 - 21),Q4 (V2 P. 64 - 25),Q5 (V2 P. 60 - 18) : Instead ∠E= 102°. Find the angle of ∠DBC.,"Q6 (V2 P. 61 - 20) : Instead ∠B=90°, AB=12, AC=20. Find the length of AE","Q7 (V2 P. 63 - 24) : Instead ∠BAI=50, ∠ACI= 15. Find the angle of ∠CBI","Q8 (V2 P. 66 - 27) : Instead AB=18, AC=24, and the area of triangle ACD is 72. Find the area of triangle ABD.","Q9 (3-3(1) Common 三,  1)","Q10 (3-3(3) Common 三,  1) "
15,1,Q1 (V2 P. 55 -  8),Q2 (V2 P. 56 -  9),Q3 (V2 P. 59 -  15),Q4 (V2 P. 63 -  23),Q5 (V2 P. 61 -  19),Q6 (V2 P. 66 -  27),Q7 (V2 P. 69 -  30),Q8 (V2 P. 71 -  32),Q9 (3-3 Adv. 一、 3) ,Q10 (3-3 WB 精熟題、 2)  
16,1,Name,"Q1 (V3 p107-30): As shown, in trapezoid ABCD, points G and H are the midpoints of line segments AB and CD, points E and F are the midpoints of line segments AG and DH, AD=4, and and EF= 5. Find the length of BC. ","Q2 (V3 p112-35): In isosceles trapezoid ABCD, AD//BC, and point E is on the extension of line segment BC. If AB=3, BC=5, AB⊥AC, and ∠1=∠2, find the length of DE.","Q3 (V3 p104-27): As shown, the midsegment of the isosceles trapezoid ABCD has a length of 10, line segment BC is 6 units longer than line segment AD, and the area of the trapezoid is 40. Find the perimeter of the trapezoid.","Q4 (V3 p98-15): . In a kite, the measures of the angles are 3x˚, 75, 90°, and 120°. Find the value of x. What are the measures of the angles that are congruent?","Q1 (V3 p94-8): In rectangle QRST, QS=5x-3 and RT=2x+15. Find the length of the diagonals of QRST.  ",Q2 (V3 p97-13 B): Find out the value of x. ,Q3 (V3 p93-6):  Find the measures of ∠2 in rhombus DEFG.,Q4 (V3 p97-14): Find m∠D in the kite shown.,"Q1 (4-3 Basic 第一大題第四題) If the diagonals of a quadrilateral are perpendicular and equal to each other, then what is this quadrilateral?"
17,1,Q1 (V3 P.32-40),Q2 (V3 P.36-47),Q3 (V3 P.36-48),Q4 (V3 P.43-57),"As shown in the figure, L1 // L2, ∠1= (5x-55)°, ∠2= (3x+45)°, and ∠3= (x+10)°. Find the angle of ∠2. (V3 P.33-42)","As shown, L1 // L2, ∠1=∠2, and ∠3=∠4. Find the value of x. (V3 P34-44)","As shown in the figure, L // M, triangle PQR is an equilateral triangle, and ∠2= 15°. Find the angle of ∠1. (V3 P.38-52)","As shown, L // M, ∠2= 4∠1, ∠4= 4∠3, and ∠B= 60°. Find the angle of ∠D. (V3 P.35-46)","As shown, L1 // L2, if line segment AD is 5, BC is 7, the area of triangle ABC is 14, find the area of triangle ACD? (4-1 Adv.一. 2)","As shown, line segment AD // line segment CE, line segment AB // line segment DF, line segment BC // line segment FE, if ∠A= 140°, ∠C= 150°, find ∠DFE. (4-1 Adv.一.7)"
18,1,"Q1 (V3 P. 65 - 6) 1. Three vertices of parallelogram ABCD are A(2,4) B(5,2) and C(3,-1). Find the coordinates of vertex D.",Q2 (V3 P.71  Q 19) ,"Q3 (V3 P.72  Q 20) As shown, in parallelogram ABCD, AE bisects BAD and DF bisects 角ADC. Find the angle of 1","Q4 (V3 P.80  Q 30) As shown, in parallelogram ABCD, AE:DE=2:3, and BF:CF=1:3. Given that the area of quadrilateral ABFE is 26, find the area of quadrilateral ABCD.","Q5 ( V3 P. 64 Q 3) 5.Find the coordinates of the intersection of the diagonals of a parallelogram LMNO with vertices  L(2,8)  M (6,8)  N(2,-2)  O(-2,-2)   ",Q6 ( V3 P. 66  Q 10) 6.For what values of x and y is quadrilateral ABCD a parallelogram? Explain your reasoning. (All the number is degree) What is x+y,"Q7 ( V3 P.68 Q 13(a) ) 7.The measure of one interior angle of a parallelogram is 8 times the measure of another angle, what is the measure of the larger interior angle?",Q8 ( v3 P.69 Q14) 8.The sides of parallelogram MNPQ are represented by the expressions below. Find the perimeter of MNPQ  MN=2x+3  NP=y-1  PQ=4x-3  QM=2y-9,"Q10 WB 4-2 P.57  As shown, in parallelogram ABCD, the supplementary angle of A is 32° more than the complementary angle of B, find D","Q11 Regular 4-2 Q6 The perimeter of parallelogram ABCD is 164 centimeters, and AB is 10 centimeters less than three times of BC, what is the length of AB in centimeters?"
19,1,Q1( V2 P41 -48),Q2( V2 P38-45),Q3 (V2 P23-17),Q4(V2 P30-31),"Q5(V2 P32-36) Find all values of x that make the triangles congruent. AB=5, BD=3x+8, AC=x+18, CD=3x+10","Q6(V2 P33-38) Given that triangle ABC is congruent to triangle DEF, with points A, B, C corresponding to the points D,E, F, respectively. If ∠A=3x+5, ∠D=5X-13, and ∠F=7x-2 . Find the angle of ∠B.","Q7(V2 P37-44)  As shown in the figure, in triangle ABC, AB=AC, PB=CQ,BQ=CR. If ∠A= 76°, find the angle of∠RPQ.","Q8(V2 P39-46) As shown in the figure, equilateral triangle ABC has a side of 4√14. Given that AE=BF=CD and that the area of triangle ABE is 16√3, find the area of triangle DEF if D, E, F, are the midpoints of AE, BF,and CD, respectively. ",Q9 (3-2 Advanced WS 1.Mutiple Choice Question 6)Which of these descriptions cannot prove △ABC≅ △DEF？,"Q10(3-2 Advanced WS 2.Fill in the Blank Question 7)As shown below, in regular pentagon ABCDE, we choose two points P, Q on AB, AC respectively to make AP=BQ. Given AQ and PE intersect at point F. Answer the following two questions:(1) Which of the following triangle congruence theorems can prove that  △APE≅ △BQA?(2) Find ∠QFE＝? "
20,1,For what values of x and y is quadrilateral PQRS a parallelogram? (V3 P. 66 - 9),"As shown, in parallelogram ABCD, Segment AE bisects ∠BAD and Segment DF bisects ∠ADC .Find the angle of ∠1. (V3 P. 72 - 20)","As shown in the figure, in parallelogram ABCD, point E lies on line segment AD, point F lies on segment BC, and Segment AE= Segment BF. Given that the area of zone a is 15 and the area of zone b is 21, find the area of zone c. (V3 P. 74 - 24)","As shown in the figure, P is a point within parallelogram ABCD. The area of the triangles APD, DPC, and CPB are 13, 16, and 15, respectively. Find the area of the triangle APB.","As shown, in the parallelogram ABCD, Segment BC = *14, point M is the midpoint of Segment BC, and the distance of point M to line segment Segment AD is *10. Constructing two circles with centers at point B and point C with a radius of length BM, the circles intersect Segment AB and Segment CD at points E and F. Find the area of the shaded zone. (V3 P. 75 - 25)","As shown in the figure, ABCD is a parallelogram. If the area of triangle ADE is *50, and the area of triangle BEC is *30, what is the area of triangle AEB? (V3 P. 70 - 17)","As shown in the figure, in parallelogram ABCD, Segment AD = Segment AE =  *5, and Segment CF = *20. Find the length of Segment AB. (V3 P. 76 - 26)","As shown, in parallelogram ABCD, Segment ED // Segment FG, ∠BCG = *120°, and ∠ABE = *40°. Find the angle of ∠AEB + ∠BFG. (V3 P. 72 - 21)","As shown in the picture, in the parallelogram ABCD, Segment BE divides ∠B into two equal angles and meets Segment AD at Point E. ∠D = 80°. Find the angle of ∠DEB (4-2 common 一、5)","In the picture, ABCD is a parallelogram. Segment BF and CF meet Segment AD at points E and G. Segment BF is perpendicular to Segment CF. If Segment BE = 7.2 and CF = 5, then what is the area of ABCD? (4-2 advanced 二、5)"
21,1,"The three heights of triangle ABC are AD, BE, and CF. If ∠A > ∠B > ∠Cm compare the length of the three heights. (V2 P.94 - 25)","In triangle ABC, the exterior angle of ∠C is 120 degrees, and 2∠A = 3∠B. Compare the lengths of line segments AB, BC, and AC. (V2 P.94 - 26)","Isosceles triangle ABC has a perimeter of 14, and the length of its three sides are all positive integers. How many triangles are there that satisfy these conditions? (V2 P.95 - 27)","In triangle ABC, if AB = √3 + 2, BC = √5 + √2, AC = √6 + 1, compare the angles of ∠A, ∠B, and ∠C. (V2 P.96 - 29)",A triangle has one side of length 16 and another side of length 6. Describe the possible lengths of the third angle. (V2 P.83 - 1),List the sides of of ∆DEF in order from shortest to longest. (V.2 P.84 - 5),List the angle of ∆PQR in order from smallest to largest. (V2 P.85 - 8),"If PR = PS and SQ < RQ, which is smaller, ∠RPQ or ∠SPQ? (V2 P.87 - 12 - b)","As shown in the figure, how many positive integers satisfy AC? (3-3 Basic 三、 4)","As shown in Figure 1, fold △ABC so that the crease passes through point C, and let point B falls on point E on AC, and the crease intersects AB at point D. After flattening, as shown in Figure 2, compare ∠1, ∠A, and ∠B. (WB 基礎題 - 4)"
22,1,List the sides of ∆ DEF in order from shortest to longest (V2 P. 84 - 5).,List the angles of ∆PQR in order from smallest to largest (V2 P. 85 - 8).,Which of the following cannot form a triangle? (V2 P. 85 - 8),"Given that line JK ≅  line LK, how does line JM compare to line LM? (V2 P. 86 - 11).",A triangle has one side of length *15* and another side of length *8*. Describe the possible lengths of the third side. (V2 P. 83 - 1).,"You are constructing a stage prop that shows a large triangular mountain. The bottom edge of the mountain is about *35* feet long, the left slope is about *38* feet long, and the right slope is about *25* feet long. List the angles of ∆JKL in order from smallest to largest. (V2 P. 84 - 4).","In triangle ABC, the exterior angle of ∠C is *100* degrees, and *1*∠A = 3∠B .Compare the lengths of line segments AB, BC, and AC. (V2 P. 94 - 26).","Isosceles triangle ABC has a perimeter of *18*, and the length of its three sides are all positive integers.How many triangles are there that satisfy these conditions? (V2 P. 95 - 27).","△ABC is an acute triangle, and∠C>∠B>∠A, which of the following must be true? (3-4 Adv. 一、4) ","As shown below, given that AB = AD, and∠BAC>∠DAC, if BC =9, which of the following is true? (3-4 Adv. 一、7) "
23,0
24,1,Find the measure of each angle. (a) The measure of one interior angle of a parallelogram is 0.25 times the measure of another angle. (b) The measure of one interior angle of a parallelogram is 50 degrees more than 4 times the measure of another angle. (V3 P.68-13) ,"As shown, part of the extending arm of a desk lamp is a parallelogram. The angles of the parallelogram change as the lamp is raised and lowered. Find ∠BCD when ∠ADC = 110°. (V3 P.64-2)",For what value of x is quadrilateral CDEF a parallelogram? (V3 P.65-8),For what values of x and y is quadrilateral PQRS a parallelogram? (V3 P.66-9),"As shown in the figure, P is a point within parallelogram ABCD. The area of the triangles APD, DPC, and CPB are 12, 17, and 16, respectively. Find the area of the triangle APB. (V3 P.71-18)","As shown in the figure, in parallelogram ABCD, segment AD = segment AE = 10, segment CF = 15, and ∠EAD 120°. Find the angle of ∠FEB and the length of segment AB.","Find the coordinates of the intersection of the diagonals of ▱STUV with vertices A(0,0), B(5,1), C(5, 4), D(0,3). (V3 P.64-4)","Three vertices of ▱WXYZ are ܹA(1,1), B(2,-4), and D(8,0). Find the coordinates of vertex C. (V3 P.65-5)","The perimeter of parallelogram ABCD is 36, segment AB = 8, find the length of segment BC. (4-2 Basic ㄧ, 1)","As shown, in parallelogram ABCD, segment BC = 12, ∠AED=90°, segment AE = segment DE , what is the area of parallelogram ABCD? (4-2 Adv. ㄧ, 6)"
25,2,Q1: (V3 P. 65-8),Q2: (V3 P. 70-17),Q3: (V3 P. 71-19),Q4: (V3 P. 72-20),Q5 (V3 P. 71-18) Change the area of APD to 14; the area of DPC to 17; and the area of CPB to 16,Q6 (V3 P.72-21) Change the angle of angle BCG to 110°; and the angle of angle ABE to 30°,Q7 (V3 P.80-30) Change the value of Segment AE: Segment DE to 3:4; the value of Segment BF: Segment CF to 2:5; the area of ABFE to 25,Q8 (V3 P. 81-31) Change angle B to 50°; angle C to 75°,"Q9: (WB P.57-1) In parallelogram ABCD, point E and F are on segment BC, angle B=44°, angle C=70°, segment BC=15, segment EF=3, both quadrilaterals ABED and AFCD are parallelograms, please find 1. the value of angle one and 2. the length of segment AD.","Q10 (WB P.57-2) Quadrilateral ABCD is a parallelogram, Amy folded point A up to line BC, and then she unfolds it, if the crease made with the fold is known as segment BE while E is on segment AD, segment AB=9, segment BC=15, angle D=80°, please find the value of: 1. angle 1, 2. angle 2, and 3. the length of segment DE.",x = 4,Triangle AEB = 50,Angle FEB= 35°; Segment AB= 14,Angle 1 = 90°,Triangle APB = 13,Angle AEB + Angle BFG = 180°,ABCD = 70,angle 1 = 125°,1. 114° 2. 6,1. 40° 2. 40° 3. 6
26,0
